masked	src
ƕa nu qiþam	ƕa nu qiþam
jah sa frumista nam qen jah gaswiltands ni [MASK] fraiwa	jah sa frumista nam qen jah gaswiltands ni bilaiþ fraiwa
jabai þu [MASK] Xristus qiþ unsis andaugiba	jabai þu sijais Xristus qiþ unsis andaugiba
gahausjands þan managein [MASK] frah ƕa wesi þata	gahausjands þan managein faurgaggandein frah ƕa wesi þata
þata [MASK] fraþjaidau in izwis þatei jah in Xristau [MASK] saei in gudaskaunein wisands ni wulwa rahnida wisan [MASK] galeiko guda ak [MASK] silban uslausida wlit skalkis nimands in galeikja manne waurþans jah manaulja bigitans swe manna	þata auk fraþjaidau in izwis þatei jah in Xristau Iesu saei in gudaskaunein wisands ni wulwa rahnida wisan sik galeiko guda ak sik silban uslausida wlit skalkis nimands in galeikja manne waurþans jah manaulja bigitans swe manna
jah suns usgaggands us þamma watin gasaƕ usluknans himinans [MASK] ahman swe ahak [MASK] ana ina	jah suns usgaggands us þamma watin gasaƕ usluknans himinans jah ahman swe ahak atgaggandan ana ina
jah jabai goleiþ þans [MASK] izwarans þatainei ƕe managizo taujiþ	jah jabai goleiþ þans frijonds izwarans þatainei ƕe managizo taujiþ
jah jabai qino afletiþ aban seinana [MASK] liugada anþaramma horinoþ	jah jabai qino afletiþ aban seinana jah liugada anþaramma horinoþ
afar leitil [MASK] atgaggandans þai standandans qeþun Paitrau	afar leitil þan atgaggandans þai standandans qeþun Paitrau
ik bi ins bidja	ik bi ins bidja
iþ Xristus biþe qimiþ ni [MASK] wait ƕaþro ist	iþ Xristus biþe qimiþ ni manna wait ƕaþro ist
[MASK] þanei tawideduþ ainamma þize minnistane broþre meinaize mis tawideduþ	jah þanei tawideduþ ainamma þize minnistane broþre meinaize mis tawideduþ
jah [MASK] bigitandans ƕaiwa innatbereina ina in manageins ussteigandans ana hrot and skaljos gasatidedun ina miþ þamma badja in midjaim faura [MASK]	jah ni bigitandans ƕaiwa innatbereina ina in manageins ussteigandans ana hrot and skaljos gasatidedun ina miþ þamma badja in midjaim faura Iesua
jah usgaggandans meridedun ei idreigodedeina	jah usgaggandans meridedun ei idreigodedeina
ni rahnjaidau im	ni rahnjaidau im
[MASK] sa ligiþ du drusa jah usstassai managaize in Israela jah du taiknai andsakanai	sai sa ligiþ du drusa jah usstassai managaize in Israela jah du taiknai andsakanai
þau niu wituþ broþrjus kunnandam auk witoþ rodja þatei witoþ [MASK] mann swa lagga ƕeila [MASK] libaiþ	þau niu wituþ broþrjus kunnandam auk witoþ rodja þatei witoþ fraujinoþ mann swa lagga ƕeila swe libaiþ
skuld u ist unsis kaisara gild giban [MASK] niu	skuld u ist unsis kaisara gild giban þau niu
jah warþ in jainaim [MASK] qam Iesus fram Nazaraiþ Galeilaias jah daupiþs was fram Iohanne [MASK] Iaurdane	jah warþ in jainaim dagam qam Iesus fram Nazaraiþ Galeilaias jah daupiþs was fram Iohanne in Iaurdane
aþþan þan þans sibun [MASK] fidwor þusundjom ƕan managans spwreidans fullans gabruko usnemuþ	aþþan þan þans sibun hlaibans fidwor þusundjom ƕan managans spwreidans fullans gabruko usnemuþ
jah andhafjandans qeþun du imma	jah andhafjandans qeþun du imma
bi spedistin [MASK] anakumbjandam þaim ainlibim ataugida jah idweitida ungalaubein ize jah harduhairtein unte þaim gasaiƕandam ina urrisanana [MASK] galaubidedun	bi spedistin þan anakumbjandam þaim ainlibim ataugida jah idweitida ungalaubein ize jah harduhairtein unte þaim gasaiƕandam ina urrisanana ni galaubidedun
suns hindarleiþ an-kumbei uh	suns hindarleiþ an-kumbei uh
laisari brahta sunu meinana du þus habandan ahman [MASK]	laisari brahta sunu meinana du þus habandan ahman unrodjandan
jah ik þatei hausida at imma þata rodja in þamma [MASK]	jah ik þatei hausida at imma þata rodja in þamma fairƕau
jah galaiþ aftra ufar Iaurdanu in þana stad [MASK] was Iohannes frumist daupjands jah [MASK] jainar	jah galaiþ aftra ufar Iaurdanu in þana stad þarei was Iohannes frumist daupjands jah salida jainar
jah insandida ins [MASK] þiudangardja gudis jah gahailjan allans þans unhailans	jah insandida ins merjan þiudangardja gudis jah gahailjan allans þans unhailans
in jainamma daga ufkunnaiþ jus [MASK] ik in attin meinamma jah jus in mis [MASK] ik in izwis	in jainamma daga ufkunnaiþ jus þatei ik in attin meinamma jah jus in mis jah ik in izwis
sah was fauramaþleis motarje jah was gabigs [MASK] sokida gasaiƕan Iesu ƕas wesi jah ni mahta faura managein unte wahstau [MASK] was	sah was fauramaþleis motarje jah was gabigs jah sokida gasaiƕan Iesu ƕas wesi jah ni mahta faura managein unte wahstau leitils was
jah qaþ du imma	jah qaþ du imma
Jah galaiþ aftra in swnagogen	Jah galaiþ aftra in swnagogen
jah aiþei is gafastaida þo [MASK] alla in hairtin seinamma	jah aiþei is gafastaida þo waurda alla in hairtin seinamma
ak [MASK] haitaizau atgaggands anakumbei ana þamma aftumistin stada ei biþe qimai saei haihait [MASK] qiþai du þus	ak þan haitaizau atgaggands anakumbei ana þamma aftumistin stada ei biþe qimai saei haihait þuk qiþai du þus
iþ nu gamelida [MASK] ni blandan jabai ƕas broþar namnids sijai hors aiþþau faihufriks aiþþau galiugam skalkinonds aiþþau [MASK] aiþþau afdrugkja aiþþau wilwa [MASK] swaleikamma ni miþmatjan	iþ nu gamelida izwis ni blandan jabai ƕas broþar namnids sijai hors aiþþau faihufriks aiþþau galiugam skalkinonds aiþþau ubilwaurds aiþþau afdrugkja aiþþau wilwa þamma swaleikamma ni miþmatjan
iftumin þan daga saei ist afar paraskaiwein gaqemun auhumistans gudjans jah [MASK] du Peilatau [MASK]	iftumin þan daga saei ist afar paraskaiwein gaqemun auhumistans gudjans jah Fareisaieis du Peilatau qiþandans
þamma gamain ist	þamma gamain ist
[MASK] im Pawlus iþ ik Apaullons iþ ik Kefins iþ ik Xristaus	ik im Pawlus iþ ik Apaullons iþ ik Kefins iþ ik Xristaus
