masked	src
Домъ арнь оупьва на г҃ѣ	Домъ арнь оупьва на г҃ѣ
Ѣко врѣмѩ помиловаті	Ѣко врѣмѩ помиловаті
ꙇ идѫ въ поусто [MASK] кораблемь едини	ꙇ идѫ въ поусто мѣсто кораблемь едини
побѢжденъ же бывъ дия͑волъ [MASK] сⱕ въ мѫжескъ о͑бразъ	побѢжденъ же бывъ дия͑волъ прѢмѢни сⱕ въ мѫжескъ о͑бразъ
тъ бо не о͑тъпаде	тъ бо не о͑тъпаде
͗Ѡле чоудо	͗Ѡле чоудо
Ѣко въ вѣкъ милость его	Ѣко въ вѣкъ милость его
[MASK] же паулъ о͑склабивъ сѧ рече	Ст͆ъи͑ же паулъ о͑склабивъ сѧ рече
ꙗ҅коже и о̑убо видѣшꙙ [MASK] многашди видѣшꙙ ѥ҅гоже не видѣшꙙ николиже ѥ҅гоже присно видꙙште въжиꙁаѭ̑тъ сꙙ [MASK] жегоми о҅гн҄емъ	ꙗ҅коже и о̑убо видѣшꙙ ѥ҅гоже многашди видѣшꙙ ѥ҅гоже не видѣшꙙ николиже ѥ҅гоже присно видꙙште въжиꙁаѭ̑тъ сꙙ свои҅мъ жегоми о҅гн҄емъ
҅Алеѯанꙿдръ рече	҅Алеѯанꙿдръ рече
ꙇ г҃ла емоу	ꙇ г҃ла емоу
о҅ни же мотꙑкꙑ и҅ рꙑла [MASK] копашꙙ	о҅ни же мотꙑкꙑ и҅ рꙑла вь҆ꙁемъше копашꙙ
ꙗ҅дѣѣ҆ше о̑убо о҅тъ [MASK] нъ по малоу ꙁѣло	ꙗ҅дѣѣ҆ше о̑убо о҅тъ вь҆сего нъ по малоу ꙁѣло
МЬШѢ В О ТОМЗЕ	МЬШѢ В О ТОМЗЕ
дѣлателе же бивъше поустишѧ тъшть	дѣлателе же бивъше поустишѧ тъшть
тоу съвꙙꙁанъ а҅дамъ҆ съвꙙꙁанꙑи҆ прѣжде и҅ о̑умь҆рꙑи҆ прѣжде вь҆сѣхъ съвꙙꙁанъ [MASK]	тоу съвꙙꙁанъ а҅дамъ҆ съвꙙꙁанꙑи҆ прѣжде и҅ о̑умь҆рꙑи҆ прѣжде вь҆сѣхъ съвꙙꙁанъ прѣи҅сподь҆нѣи҆
а҅ште ли кто мѣнитъ дѫбиѥ малааго манастꙑра ѥ҅же при пѫти ѥ҅стъ то да вѣстъ ꙗ҅коже [MASK] [MASK] бꙑстъ блаженааго савꙑ глѫбинѫ же [MASK] о҅брѣтъше и҅ подъгориѥ҆ поточъноѥ доуждевꙑи҅хъ водъ	а҅ште ли кто мѣнитъ дѫбиѥ малааго манастꙑра ѥ҅же при пѫти ѥ҅стъ то да вѣстъ ꙗ҅коже то молитвами бꙑстъ блаженааго савꙑ глѫбинѫ же ꙁемь҆ѧ о҅брѣтъше и҅ подъгориѥ҆ поточъноѥ доуждевꙑи҅хъ водъ
ѣкоже бо бꙑстъ иона [MASK] ниневъꙉитомъ тако бѫдетъ и с҃нъ ч҃лвскꙑ родоу семоу	ѣкоже бо бꙑстъ иона знамение ниневъꙉитомъ тако бѫдетъ и с҃нъ ч҃лвскꙑ родоу семоу
маловрѢмень͗ни бо сѫтъ	маловрѢмень͗ни бо сѫтъ
[MASK] дошъла ꙁападънꙑи҅хъ странъ а҅риꙗ҅нъскаꙗ хоула	нѣстъ дошъла ꙁападънꙑи҅хъ странъ а҅риꙗ҅нъскаꙗ хоула
їзведе ѩ	їзведе ѩ
вѣроуета ли ѣко [MASK] се створити	вѣроуета ли ѣко могѫ се створити
нъ чьсо ꙇзидосте видѣтъ	нъ чьсо ꙇзидосте видѣтъ
отъ г҃а бꙑстъ си ꙇ естъ [MASK] въ очиѭ нашею	отъ г҃а бꙑстъ си ꙇ естъ дивъна въ очиѭ нашею
како бо проклꙙ господь҆ глагол҄ꙙи҆	како бо проклꙙ господь҆ глагол҄ꙙи҆
пѫтʼникъ же кʼто мимои͑ды и͑ мь͗нⱕ бл̑ѹдомѫ видѣвъ н̑ивѫ добрѫ и͑ плодънѫ и͑ [MASK] и͑ вь͗злюбивъ прѣклонивъ сⱕ [MASK] на годѣ	пѫтʼникъ же кʼто мимои͑ды и͑ мь͗нⱕ бл̑ѹдомѫ видѣвъ н̑ивѫ добрѫ и͑ плодънѫ и͑ съзь͗рѣвъшѫ и͑ вь͗злюбивъ прѣклонивъ сⱕ вь͗зⱕ на годѣ
ПСЛОМ ДВ҃Ъ ВЪ ЇСХОЖДЕНЪЕ	ПСЛОМ ДВ҃Ъ ВЪ ЇСХОЖДЕНЪЕ
которааго васъ осълъ [MASK] волъ въ стоуденецъ въпадетъ ꙇ не абие [MASK] его вь день соботънꙑ	которааго васъ осълъ ли волъ въ стоуденецъ въпадетъ ꙇ не абие истръгнетъ его вь день соботънꙑ
и҅ вьведе и [MASK] клѣтькѫ своѭ̑	и҅ вьведе и вь клѣтькѫ своѭ̑
послѣдь [MASK] придѫ и прочѧѩ дѣвꙑ г҃лѭщѧ	послѣдь же придѫ и прочѧѩ дѣвꙑ г҃лѭщѧ
вѣмъ же ѣко грѣшьникъ б҃ъ не послоушаатъ нъ аште кто б҃гочтецъ естъ и волѭ [MASK] сътворитъ [MASK] послоушаатъ	вѣмъ же ѣко грѣшьникъ б҃ъ не послоушаатъ нъ аште кто б҃гочтецъ естъ и волѭ его сътворитъ того послоушаатъ
Прідѣте	Прідѣте
братия по строю҄ бж͆ию҄ дроужина быхомъ [MASK] маловрѢмень͗наа͑го сего жития	братия по строю҄ бж͆ию҄ дроужина быхомъ въ маловрѢмень͗наа͑го сего жития
еда отъ галилѣѩ х҃ъ придетъ	еда отъ галилѣѩ х҃ъ придетъ
гости же мѫжⱕ иже [MASK] ст͆аа͑го василиска	гости же мѫжⱕ иже ведѣа͑хѫ ст͆аа͑го василиска
градъ же комоуждо насъ ѥ͑сть небесъскꙑи ѥроусалимъ вь н̑ьже вь͗селитъ [MASK] вь͗сꙙ [MASK] сꙙ на н̑ь	градъ же комоуждо насъ ѥ͑сть небесъскꙑи ѥроусалимъ вь н̑ьже вь͗селитъ г͆ь вь͗сꙙ надѣѭ̑штѧѧ сꙙ на н̑ь
поставіші мѩ въ главѫ ѩзъікомъ	поставіші мѩ въ главѫ ѩзъікомъ
г҃лѭ же вамъ	г҃лѭ же вамъ
и҅ дроугꙑи҆	и҅ дроугꙑи҆
ꙇ приношаахѫ [MASK] немоу дѣти да ѩ коснетъ	ꙇ приношаахѫ къ немоу дѣти да ѩ коснетъ
и҅ нꙑнꙗ владꙑко [MASK] о҅бави ми о҅ н҄емъ ꙗ҅ко печаль҆на доуша моꙗ ѥ҅стъ до сьмрьти а҅ште съсѫдъ [MASK] мь҆ноѭ̑ мьнѣнѣ о҅свꙙштенъ и҅ добропотрѣбь҆нъ и҅ божь҆ствънааго твоѥ҅го мура подобь҆нъ подъѧ҅тиꙗ непотрѣбь҆нъ прѣдъ твои҅мъ величьствомъ [MASK]	и҅ нꙑнꙗ владꙑко господи о҅бави ми о҅ н҄емъ ꙗ҅ко печаль҆на доуша моꙗ ѥ҅стъ до сьмрьти а҅ште съсѫдъ и҅же мь҆ноѭ̑ мьнѣнѣ о҅свꙙштенъ и҅ добропотрѣбь҆нъ и҅ божь҆ствънааго твоѥ҅го мура подобь҆нъ подъѧ҅тиꙗ непотрѣбь҆нъ прѣдъ твои҅мъ величьствомъ бꙑстъ
Десніца гн҃ѣ сътвори силѫ	Десніца гн҃ѣ сътвори силѫ
въ четврътꙑи [MASK] дьнь посъла кнꙙꙁъ ноштиѭ҄ да видꙙтъ а҅ште ѥ҅ста о҄уморена свꙙтаꙗ҅ ꙁвѣрь҆ми	въ четврътꙑи же дьнь посъла кнꙙꙁъ ноштиѭ҄ да видꙙтъ а҅ште ѥ҅ста о҄уморена свꙙтаꙗ҅ ꙁвѣрь҆ми
аште [MASK] би бꙑлъ сь зълодѣи не бимь прѣдали его тебѣ	аште не би бꙑлъ сь зълодѣи не бимь прѣдали его тебѣ
видѣхомъ г҃а	видѣхомъ г҃а
бꙑвъи҆ бо [MASK] чл꙯къ ꙁа велика ꙁапрѣштениꙗ симъ о҅сѫжденъ бꙑвааше слꙑшꙙ	бꙑвъи҆ бо прь҆вꙑи чл꙯къ ꙁа велика ꙁапрѣштениꙗ симъ о҅сѫжденъ бꙑвааше слꙑшꙙ
очищѫ сѩ	очищѫ сѩ
и҅ того радма въ врѣмꙙ строꙗ г꙯ь нашъ вь҆сѫ о҅бави кротость҆ да [MASK] [MASK] о҅сѫдитъ [MASK] свои҅мъ вь҆ꙁнесень҆ѥ҆ ѥ҅же бѣ кнꙙꙁъ вѣка сего вражь҆скꙑ въсхꙑтилъ себѣ	и҅ того радма въ врѣмꙙ строꙗ г꙯ь нашъ вь҆сѫ о҅бави кротость҆ да побѣдитꙿ и҅ о҅сѫдитъ сь҆мѣрении҅мъ свои҅мъ вь҆ꙁнесень҆ѥ҆ ѥ҅же бѣ кнꙙꙁъ вѣка сего вражь҆скꙑ въсхꙑтилъ себѣ
бѣсꙑ ꙇзгоните	бѣсꙑ ꙇзгоните
вь͗сѣчьскы примысливъше не могохомъ и͑хъ о҄увѣштати [MASK] сⱕ х͆а своѥго и͑ быти съ нами	вь͗сѣчьскы примысливъше не могохомъ и͑хъ о҄увѣштати о͑тъврѣшти сⱕ х͆а своѥго и͑ быти съ нами
ли коеі притъчи приложимъ е	ли коеі притъчи приложимъ е
҅Анꙿтонинъ глагола	҅Анꙿтонинъ глагола
По тѣхъ же врѣменехъ о҄увѣдѣвъ патрик҄ии҆ и҅же блаженꙑѧ памꙙти е҅п꙯пъ новꙑѧ҆ к҄есариѧ града о҅тъ того бо пришъствии҅мъ сътвори нарочитъи҆ [MASK] [MASK] ꙗ҅ко собоѭ҄ носитъ ст꙯ꙑи҆ о҅тъ е҅фрата рѣкꙑ ноштиѭ҄ [MASK] и҅ чꙿтꙑ мѫжа житиꙗ҆ ѥ҅го ради и҅ [MASK] радꙿма дѣла дастъ клюсꙙ на ношень҆е҆ водѣ странь҆нꙑимъ приходꙙштии҅мь҆ к [MASK] а҅ не самомоу страдати [MASK] приношеньꙗ҆ водѣ	По тѣхъ же врѣменехъ о҄увѣдѣвъ патрик҄ии҆ и҅же блаженꙑѧ памꙙти е҅п꙯пъ новꙑѧ҆ к҄есариѧ града о҅тъ того бо пришъствии҅мъ сътвори нарочитъи҆ манастꙑрь҆ и҅ ꙗ҅ко собоѭ҄ носитъ ст꙯ꙑи҆ о҅тъ е҅фрата рѣкꙑ ноштиѭ҄ водѫ и҅ чꙿтꙑ мѫжа житиꙗ҆ ѥ҅го ради и҅ того радꙿма дѣла дастъ клюсꙙ на ношень҆е҆ водѣ странь҆нꙑимъ приходꙙштии҅мь҆ к н҄емоу а҅ не самомоу страдати троуда приношеньꙗ҆ водѣ
равьни [MASK] сѫтъ а҃нꙉлмъ ꙇ с҃нве сѫтъ б҃жии вьскрѣшению с҃нве сѫще	равьни бо сѫтъ а҃нꙉлмъ ꙇ с҃нве сѫтъ б҃жии вьскрѣшению с҃нве сѫще
аще оубо д҃вдъ д҃хомъ г҃а нарицаетъ і како [MASK] естъ с҃нъ	аще оубо д҃вдъ д҃хомъ г҃а нарицаетъ і како емоу естъ с҃нъ
како ли можаа҅хѫ сътрь҆пѣти [MASK] бѣсꙙштоу сꙙ	како ли можаа҅хѫ сътрь҆пѣти народоу бѣсꙙштоу сꙙ
да не бѫдетъ въ тебѣ бъ новъ ні поклоніші сѩ б҃оу [MASK]	да не бѫдетъ въ тебѣ бъ новъ ні поклоніші сѩ б҃оу тоуждемоу
и҅ не о҅брѣтъ кѫдоу съвратити [MASK] къ пештерѣ не могꙑ [MASK] грꙙсти паде ꙁадоушивъ сꙙ	и҅ не о҅брѣтъ кѫдоу съвратити сꙙ къ пештерѣ не могꙑ же грꙙсти паде ꙁадоушивъ сꙙ
ꙗ҅коже и҅ бꙑстъ	ꙗ҅коже и҅ бꙑстъ
Къде хоштеши оуготоваемь [MASK] пасхѫ ѣсти	Къде хоштеши оуготоваемь тебѣ пасхѫ ѣсти
можеши и҅ ѥ҅днѣмъ добро сътворити	можеши и҅ ѥ҅днѣмъ добро сътворити
къ вечероу бо бѢа͑ше дь͗ни	къ вечероу бо бѢа͑ше дь͗ни
Наоучи мѩ творити волѭ твоѭ	Наоучи мѩ творити волѭ твоѭ
дъва бѫдете на селѣ	дъва бѫдете на селѣ
[MASK] с б҃і прініче на сн҃ꙑ чл҃вчѩ Видѣті аще естъ разоумѣваѩ ілі вьзискаѩ б҃а	Бъ҃ с б҃і прініче на сн҃ꙑ чл҃вчѩ Видѣті аще естъ разоумѣваѩ ілі вьзискаѩ б҃а
дѣѣ҅ши рече	дѣѣ҅ши рече
ꙇ҅меши ли вѣрѫ семоу	ꙇ҅меши ли вѣрѫ семоу
егда ізнемагаетъ крѣпость моѣ не [MASK] мене	егда ізнемагаетъ крѣпость моѣ не оставі мене
Прінесѣте г҃ю сн҃ові бж҃і	Прінесѣте г҃ю сн҃ові бж҃і
ꙇ [MASK] народъ отъ галилеѩ по н҄емь [MASK] ꙇ отъ ꙇюдеѩ ꙇ отъ е҃лма ꙇ отъ ꙇдоумѣѩ ꙇ съ оного полоу ꙇордана	ꙇ многъ народъ отъ галилеѩ по н҄емь ꙇдошѧ ꙇ отъ ꙇюдеѩ ꙇ отъ е҃лма ꙇ отъ ꙇдоумѣѩ ꙇ съ оного полоу ꙇордана
[MASK] же и оумꙑвъ сѧ прозьрѣхъ	шедъ же и оумꙑвъ сѧ прозьрѣхъ
Нъ рекѫтъ нѣции҆ ѡ҄ їѡ҄сифѣ	Нъ рекѫтъ нѣции҆ ѡ҄ їѡ҄сифѣ
нъ достои҅нѫ мѫдрость҆ данꙑи҅хъ намъ о҅тъ доуховнааго [MASK] вьсприїмше [MASK] въдадимъ себе пьꙗ҅нь҆ствоу и҅ лихоꙗ҅день҆ю̑	нъ достои҅нѫ мѫдрость҆ данꙑи҅хъ намъ о҅тъ доуховнааго дара вьсприїмше не въдадимъ себе пьꙗ҅нь҆ствоу и҅ лихоꙗ҅день҆ю̑
Надѣѭщеі сѩ сілѣ своеі Ї множьствомъ богатьства своего [MASK] сѩ	Надѣѭщеі сѩ сілѣ своеі Ї множьствомъ богатьства своего хвалѩще сѩ
нъ бѣа͑ше правʼдивыи͗ я͑ко [MASK] и͑ грѣшъныи͗ я͑ко праведъныи͗	нъ бѣа͑ше правʼдивыи͗ я͑ко нечьстивыи͗ и͑ грѣшъныи͗ я͑ко праведъныи͗
ни а͑ште и͑ м͆ ѧ͑зыци довь͗лѣли бышⱕ толікѫ добрѫ дѣтѣль [MASK] вь͗спѣти	ни а͑ште и͑ м͆ ѧ͑зыци довь͗лѣли бышⱕ толікѫ добрѫ дѣтѣль мѫжь вь͗спѣти
и҅ о҅сльпнѫшꙙ роби божиї	и҅ о҅сльпнѫшꙙ роби божиї
и҅ что глагол҄ѫ давꙑда и҅ [MASK] и҅ соломѡ̑на	и҅ что глагол҄ѫ давꙑда и҅ їѡ̑нѫ и҅ соломѡ̑на
то ѥ҅стъ и҅ дѣвь҆ство	то ѥ҅стъ и҅ дѣвь҆ство
[MASK] озирааше сѧ видѣти сътворьшѫѭ се	ꙇ озирааше сѧ видѣти сътворьшѫѭ се
море о҅точь҆ноѥ ꙁнаѥтъ мѫжа	море о҅точь҆ноѥ ꙁнаѥтъ мѫжа
[MASK] недостоини есмъ ѣко еже длъжъни бѣхомъ сътворити сътворихомъ	раби недостоини есмъ ѣко еже длъжъни бѣхомъ сътворити сътворихомъ
Въ своѩ приде	Въ своѩ приде
Не оубоѭ сѩ отъ тьмъі людеі Нападаѭщіхъ на мѩ [MASK]	Не оубоѭ сѩ отъ тьмъі людеі Нападаѭщіхъ на мѩ окръстъ
Желанье сръдьца твоего даль [MASK] есі	Желанье сръдьца твоего даль емоу есі
абие [MASK] по скръби дьнии тѣхъ слъньце мръкнетъ и лоуна не дастъ свѣта своего [MASK] звѣздꙑ съпадѫтъ с н҃бсе ꙇ силꙑ небескꙑѩ҅ двигнѫтъ сѧ	абие же по скръби дьнии тѣхъ слъньце мръкнетъ и лоуна не дастъ свѣта своего ꙇ звѣздꙑ съпадѫтъ с н҃бсе ꙇ силꙑ небескꙑѩ҅ двигнѫтъ сѧ
ꙇ събърашѧ сѧ кь [MASK] народи мъноѕи ꙇ ѣко вьлѣзъ въ корабь [MASK] и весь народъ на помори стоѣше	ꙇ събърашѧ сѧ кь немоу народи мъноѕи ꙇ ѣко вьлѣзъ въ корабь сѣде и весь народъ на помори стоѣше
г҃лашѧ емоу оученици его	г҃лашѧ емоу оученици его
Ѡтъвѣшта и҃съ и рече имъ	Ѡтъвѣшта и҃съ и рече имъ
маловѣре по чьто сѧ оусоумьнѣ	маловѣре по чьто сѧ оусоумьнѣ
съгрѣшихъ прѣдавъ крьвь҆ неповиннѫ	съгрѣшихъ прѣдавъ крьвь҆ неповиннѫ
Неповіненъ рѫкама и чъстъ сръдъцемъ Иже [MASK] пріѩтъ насоуе дш҃ѩ своеѩ И не клѩтъ сѩ лестьѭ [MASK] своемоу	Неповіненъ рѫкама и чъстъ сръдъцемъ Иже не пріѩтъ насоуе дш҃ѩ своеѩ И не клѩтъ сѩ лестьѭ искрънюмоу своемоу
[MASK] неключимааго раба въвръѕѣте въ тъмѫ кромѣштьнѭ҄ѭ҄	ꙇ҅ неключимааго раба въвръѕѣте въ тъмѫ кромѣштьнѭ҄ѭ҄
не вѣроуѥши ли пророкоу	не вѣроуѥши ли пророкоу
глагол҄и о҄убо такожде вь҆ н҄ь и҅ бѫдеши въ [MASK] такъ ꙗ҅коже и҅ о҅нъ	глагол҄и о҄убо такожде вь҆ н҄ь и҅ бѫдеши въ того такъ ꙗ҅коже и҅ о҅нъ
Врагъ поносі г҃ю	Врагъ поносі г҃ю
сълоучаѭ҄штии҅ же сꙙ на пѫти [MASK] и҅ꙁдалеча съ великꙑи҅мъ о҄устрь҆мь҆ѥ҅нии҅мъ течень҆ꙗ҆ приходꙙштъ мнꙙште на и҅ꙁѣдениѥ҆ и҅мъ прѣдълежати [MASK] нашьствию҄	сълоучаѭ҄штии҅ же сꙙ на пѫти видꙙште и҅ꙁдалеча съ великꙑи҅мъ о҄устрь҆мь҆ѥ҅нии҅мъ течень҆ꙗ҆ приходꙙштъ мнꙙште на и҅ꙁѣдениѥ҆ и҅мъ прѣдълежати ꙁвѣрьноуо҄умоу нашьствию҄
е҅се мѫжь҆	е҅се мѫжь҆
