masked	src
ƕa nu [_]iþam	ƕa nu qiþam
jah sa [_]rumista nam qen jah gas[_]iltands n[_] bilaiþ fraiwa	jah sa frumista nam qen jah gaswiltands ni bilaiþ fraiwa
j[_]bai þu si[_]ais Xristus qiþ unsis andaugiba	jabai þu sijais Xristus qiþ unsis andaugiba
gahausj[_]nds þan managein faurgaggand[_]in frah ƕa wesi þ[_]ta	gahausjands þan managein faurgaggandein frah ƕa wesi þata
[_][_]t[_] auk fraþjaidau in izwis þatei ja[_] in Xris[_]au Iesu saei in gudaskaunein wisands ni wulwa rahnida wisan sik ga[_]eiko guda ak sik[_]silban uslausid[_] wlit skalkis nim[_]nds in galeikja manne waurþans jah mana[_]lja bigit[_]ns swe manna	þata auk fraþjaidau in izwis þatei jah in Xristau Iesu saei in gudaskaunein wisands ni wulwa rahnida wisan sik galeiko guda ak sik silban uslausida wlit skalkis nimands in galeikja manne waurþans jah manaulja bigitans swe manna
jah suns usgaggands us þamma watin gasaƕ usluknans [_]iminans[_]jah ahman[_]swe[_]ahak atgaggandan ana in[_]	jah suns usgaggands us þamma watin gasaƕ usluknans himinans jah ahman swe ahak atgaggandan ana ina
jah jabai goleiþ þans frijonds izwarans þatai[_]ei ƕe ma[_][_]gizo taujiþ	jah jabai goleiþ þans frijonds izwarans þatainei ƕe managizo taujiþ
j[_]h jabai qino afletiþ[_]aban seinana j[_]h liugada anþaramma horinoþ	jah jabai qino afletiþ aban seinana jah liugada anþaramma horinoþ
afar leitil [_]an atgaggandans þai [_]tandandans qeþ[_]n Paitrau	afar leitil þan atgaggandans þai standandans qeþun Paitrau
ik bi [_]ns bidja	ik bi ins bidja
iþ Xrist[_]s biþe qimiþ ni manna wai[_] ƕaþro ist	iþ Xristus biþe qimiþ ni manna wait ƕaþro ist
jah þanei ta[_]ideduþ a[_][_]amma þize minnistane broþre meinaize mis tawid[_]duþ	jah þanei tawideduþ ainamma þize minnistane broþre meinaize mis tawideduþ
jah ni bigitandans ƕaiwa innatb[_][_]ein[_] ina in manageins ussteiga[_]dans ana hrot and[_]skaljos gasa[_]idedun [_]na miþ þamma badja in midjaim faura Iesua	jah ni bigitandans ƕaiwa innatbereina ina in manageins ussteigandans ana hrot and skaljos gasatidedun ina miþ þamma badja in midjaim faura Iesua
jah usg[_]ggandans meridedun ei idreigodedein[_]	jah usgaggandans meridedun ei idreigodedeina
ni rahnjaidau [_]m	ni rahnjaidau im
sai sa li[_]iþ du drusa[_]jah usstassai ma[_]ag[_]ize in Israela jah du taiknai andsakanai	sai sa ligiþ du drusa jah usstassai managaize in Israela jah du taiknai andsakanai
þau niu wituþ broþrjus kunna[_]dam auk w[_]toþ rodja þatei witoþ[_]fr[_]ujinoþ mann swa lagga ƕei[_]a swe libaiþ	þau niu wituþ broþrjus kunnandam auk witoþ rodja þatei witoþ fraujinoþ mann swa lagga ƕeila swe libaiþ
skuld u ist unsis kaisa[_]a gild giban þau n[_]u	skuld u ist unsis kaisara gild giban þau niu
jah warþ in jainaim dagam q[_]m Iesu[_] fram[_]Nazaraiþ Gal[_]ilaias jah daupiþs was fram [_]ohanne in Iaurdane	jah warþ in jainaim dagam qam Iesus fram Nazaraiþ Galeilaias jah daupiþs was fram Iohanne in Iaurdane
aþþan þan þans sibun hlaiban[_] fidwor þusundjom ƕan managans [_]pwreidan[_][_]fullans ga[_]ruko usnemuþ	aþþan þan þans sibun hlaibans fidwor þusundjom ƕan managans spwreidans fullans gabruko usnemuþ
ja[_] andhafjandans [_]eþun du imma	jah andhafjandans qeþun du imma
bi spedistin þan ana[_]umbjandam þaim ainlibim at[_]ugida ja[_] idweitida ung[_]laubein ize jah ha[_]duhairtein unte þaim gasai[_]and[_]m ina urrisanana n[_] galaubidedun	bi spedistin þan anakumbjandam þaim ainlibim ataugida jah idweitida ungalaubein ize jah harduhairtein unte þaim gasaiƕandam ina urrisanana ni galaubidedun
sun[_] hindarleiþ an-kumbei uh	suns hindarleiþ an-kumbei uh
lais[_]ri brahta sunu meinana [_]u þus habandan ahman unrodjanda[_]	laisari brahta sunu meinana du þus habandan ahman unrodjandan
jah ik þatei [_]ausida a[_] im[_]a þata rodja in þamma fairƕau	jah ik þatei hausida at imma þata rodja in þamma fairƕau
jah galaiþ[_]aft[_]a ufar [_][_]urdanu in þana stad þarei was Iohannes frumist daupjands jah salid[_] jainar	jah galaiþ aftra ufar Iaurdanu in þana stad þarei was Iohannes frumist daupjands jah salida jainar
