masked	src
vatse baṣkaye adh[_][_][_]apta tantūn vi tatnire kavayaḥ otavai u	vatse baṣkaye adhi sapta tantūn vi tatnire kavayaḥ otavai u
tasmāt u idam[_][_]surāḥ na anvābhavanti	tasmāt u idam asurāḥ na anvābhavanti
tābuvena arasam [_]iṣam	tābuvena arasam viṣam
ś[_]eṣṭham yaviṣṭha bh[_]rata agne dyumantam ā bhara vaso puruspṛh[_]m ray[_]m	śreṣṭham yaviṣṭha bhārata agne dyumantam ā bhara vaso puruspṛham rayim
i[_]drasya vacasā hata	indrasya vacasā hata
tatr[_] amṛtasya āsiktam	tatra amṛtasya āsiktam
asmākam viprem[_]ṇam anu idam asurāḥ āb[_]aviṣyanti [_]ti	asmākam vipremāṇam anu idam asurāḥ ābhaviṣyanti iti
indriyeṇa vai eṣa vīryeṇa vyṛ[_]hyate yaḥ alam bhūtyai s[_]n na bhava[_]i	indriyeṇa vai eṣa vīryeṇa vyṛdhyate yaḥ alam bhūtyai san na bhavati
[_]ejasā enam pracchinatti	tejasā enam pracchinatti
traiṣṭubhaḥ [_]ai rājanyaḥ [_]jaḥ va[_] indriyam vīryam triṣṭubh	traiṣṭubhaḥ vai rājanyaḥ ojaḥ vai indriyam vīryam triṣṭubh
yat y[_][_]ñe abhirūpam tat samṛddham	yat yajñe abhirūpam tat samṛddham
adbhiḥ abhiṣiñcan[_]i	adbhiḥ abhiṣiñcanti
saṃva[_]saraḥ prajāpatiḥ	saṃvatsaraḥ prajāpatiḥ
a[_]janti yam prathaya[_]taḥ na [_]iprāḥ iti ajyamānāya abhirūpā	añjanti yam prathayantaḥ na viprāḥ iti ajyamānāya abhirūpā
kratvā naḥ manyo saha medī [_]dhi mahā dhanasya puru hūta sa[_][_]ṛji	kratvā naḥ manyo saha medī edhi mahā dhanasya puru hūta saṃsṛji
yaḥ soma [_]ī[_]ham icchet prayāja āhutibhiḥ udaṅ saḥ [_]yāt	yaḥ soma pītham icchet prayāja āhutibhiḥ udaṅ saḥ iyāt
sam arpa[_]a indra mahatā[_]vadhena	sam arpaya indra mahatā vadhena
tasya sahasras[_]a agratas kubhraḥ[_]udait	tasya sahasrasya agratas kubhraḥ udait
etāḥ vai aśarīrāḥ āhutay[_]ḥ	etāḥ vai aśarīrāḥ āhutayaḥ
mad[_]yam etat y[_]jñasya yat antarā prayāja anuyājān	madhyam etat yajñasya yat antarā prayāja anuyājān
kṛṣṇ[_]ḥ bhavati	kṛṣṇaḥ bhavati
āyutam p[_]tṝṇām	āyutam pitṝṇām
h[_]tam tardam samaṅkam ākhum aśvin[_]	hatam tardam samaṅkam ākhum aśvinā
nava āl[_]bhyante	nava ālabhyante
grāhiḥ j[_]grāha yadi v[_] etat enam tasyāḥ indra agnī pra mumuktam en[_]m	grāhiḥ jagrāha yadi vā etat enam tasyāḥ indra agnī pra mumuktam enam
te samyañcaḥ vaiśvāmitrāḥ sarv[_] sākam sa rātayaḥ d[_]var[_]t[_]ya tasthire dhṛtyai śr[_]iṣṭhyāya gāthināḥ	te samyañcaḥ vaiśvāmitrāḥ sarve sākam sa rātayaḥ devarātāya tasthire dhṛtyai śraiṣṭhyāya gāthināḥ
sā sarūpam idam kṛdh[_]	sā sarūpam idam kṛdhi
te as[_]ai a[_]nādyam prayacchataḥ	te asmai annādyam prayacchataḥ
pañca prāś[_]anti	pañca prāśnanti
gomṛgam vāy[_]ve ālabheta	gomṛgam vāyave ālabheta
anusṛṣṭ[_]ḥ iva hi etasya som[_] pīthaḥ ya[_]ya pitā pitāmahaḥ somam na[_]pibati	anusṛṣṭaḥ iva hi etasya soma pīthaḥ yasya pitā pitāmahaḥ somam na pibati
yat divi ca[_]rathuḥ payaḥ tena [_]mām upa siñcatam	yat divi cakrathuḥ payaḥ tena imām upa siñcatam
svārājyam eva gacch[_]ti	svārājyam eva gacchati
tira[_] iva vai etat vācaḥ yat upāṃśu[_]tiras iva etat yat rakṣāṃ[_]i	tiras iva vai etat vācaḥ yat upāṃśu tiras iva etat yat rakṣāṃsi
