masked	src
Ensi s'a[_] vo[_]t pa[_]lant adés, Et li lyeons toz[_]jor[_] aprés, Tant qu'au chastel vindrent tuit troi.	Ensi s'an vont parlant adés, Et li lyeons toz jorz aprés, Tant qu'au chastel vindrent tuit troi.
[_]ue talant a que il rescoe Son seignor einz q[_]e il l'ocï[_]nt.	Que talant a que il rescoe Son seignor einz que il l'ocïent.
Et tu me redevroies dire [_]ui[_]x hom tu ié[_] et que tu quiers.	Et tu me redevroies dire Quiex hom tu iés et que tu quiers.
ensi l[_] fis ;	ensi le fis ;
La dameisele ensi l[_]en [_]ainne ;	La dameisele ensi l'en mainne ;
Devant lui v[_]it la rob[_] nueve,	Devant lui voit la robe nueve,
Messire [_]vains par la main ti[_]nt Le prisonier,	Messire Yvains par la main tient Le prisonier,
et pa[_]sse Que cele la consoil[_]e an foi ;	et pansse Que cele la consoille an foi ;
Li lyons s[_]est arrieres trez.	Li lyons s'est arrieres trez.
Trestuit de joie se [_]ravaille[_]t,	Trestuit de joie se travaillent,
S'or vo[_] contenez a mon sens, Si con je vos lo cont[_]nir, Gra[_]z biens vos an porra venir[_]	S'or vos contenez a mon sens, Si con je vos lo contenir, Granz biens vos an porra venir.
ca[_] an[_]redot Est que [_]i jaianz ne venist A tele ore que il poïst Venir a tens a la pucele Qui e[_]t an[_]lose an la[_]chapele.	car an redot Est que li jaianz ne venist A tele ore que il poïst Venir a tens a la pucele Qui ert anclose an la chapele.
Et maintenant qu'il s[_]antrevirent, S'a[_]trevindrent	Et maintenant qu'il s'antrevirent, S'antrevindrent
- Sire, fet il,[_]et[_]je m'an tes,	- Sire, fet il, et je m'an tes,
Tant fu li tans pesmes et[_][_]o[_]z Que cent foiz c[_]idai estre morz[_]Des foud[_]es qu'antor moi cheoient Et des arbres qui peceoient.	Tant fu li tans pesmes et forz Que cent foiz cuidai estre morz Des foudres qu'antor moi cheoient Et des arbres qui peceoient.
Qant m[_] dame se maria, N'a mie ancor.vi. anz pa[_]clos, Si le f[_]st ele [_]ar voz los.	Qant ma dame se maria, N'a mie ancor.vi. anz parclos, Si le fist ele par voz los.
Que la f[_]ame mal[_]ne li face Que il gitoit parmi la gole, Qui plus e[_]to[_]t lee d'une ole.	Que la flame mal ne li face Que il gitoit parmi la gole, Qui plus estoit lee d'une ole.
Et Lunete li redit p[_]is :	Et Lunete li redit puis :
N'[_]inz mes ne cuit qu'il avenist[_]Que nus hom qui prison tenis[_], Tel con messire Y[_]ains la tien[_], Que de la test[_] perdre crie[_]t, Amast[_]an si fole menie[_]e, Dom i[_] ne fera ja proiere Ne autres por lui, pu[_]t cel estre.	N'ainz mes ne cuit qu'il avenist Que nus hom qui prison tenist, Tel con messire Yvains la tient, Que de la teste perdre crient, Amast an si fole meniere, Dom il ne fera ja proiere Ne autres por lui, puet cel estre.
L[_] nuit, totes [_]nors li firent	La nuit, totes enors li firent
Le seignor del chastel meïsme Apele oia[_]t [_]oz,	Le seignor del chastel meïsme Apele oiant toz,
Et dit :	Et dit :
L[_]s leus ou ele ert espandu[_] Vet reverchant,	Les leus ou ele ert espandue Vet reverchant,
Cele fet sanblant qu'anvoit q[_][_]rre Monseignor Yvain[_]en sa terre,	Cele fet sanblant qu'anvoit querre Monseignor Yvain en sa terre,
Honiz[_]soit de saint[_] Marie Qui por anpiri[_]r se marie !	Honiz soit de sainte Marie Qui por anpirier se marie !
Qu'ele li leve de ses mains [_]e col[_]et le vis et la face [_]	Qu'ele li leve de ses mains Le col et le vis et la face ;
S'il s'an f[_]ï, [_]'a mi[_] tort, Qu'il se santi navrez a mort ;	S'il s'an foï, n'a mie tort, Qu'il se santi navrez a mort ;
et[_]de vos la teingne ;	et de vos la teingne ;
Puis ramanras mon palefro[_].	Puis ramanras mon palefroi.
Or [_]nt joie li.iii[_]. frere, Qui mo[_]t avoient mal sofert.	Or ont joie li.iiii. frere, Qui mout avoient mal sofert.
Tex done boen consoil a[_]trui, Qui ne savroi[_] co[_]seillier lui, Ausi con li preesc[_]eor Qui sont[_]desleal lecheor, [_]nseignent et dï[_]n[_] le bien Dom il ne vuelent feire rien [_] »	Tex done boen consoil autrui, Qui ne savroit conseillier lui, Ausi con li preescheor Qui sont desleal lecheor, Enseignent et dïent le bien Dom il ne vuelent feire rien ! »
Q[_]e ja de r[_]en ne s'an feindra.	Que ja de rien ne s'an feindra.
Que mi[_]lz qu'il pueent [_]es anploient.	Que mialz qu'il pueent les anploient.
M[_]l [_]it par cui nos la perdrons,	Mal ait par cui nos la perdrons,
Garde,	Garde,
Je n'e[_] ai soing ;	Je n'en ai soing ;
Se [_]'i a nul qui le conois[_][_] Fors que Lunete seulemant, Qui le co[_]vea longuemant.	Se n'i a nul qui le conoisse Fors que Lunete seulemant, Qui le convea longuemant.
ne ja[_]n'avras.	ne ja n'avras.
O[_] v[_]s gardez bien come sages Que n'i le[_]siez la teste an gages,	Or vos gardez bien come sages Que n'i lessiez la teste an gages,
fet ele.	fet ele.
Ne Dex ne hom ne[_]l'i savoit,	Ne Dex ne hom ne l'i savoit,
Et dïent que buer seroit nee Cui il avroit s'amor [_]onee, [_]ui si est as armes puissanz Et desor toz recono[_]ssan[_], Si con [_]ierges antre chand[_]iles Et la lune antre l[_]s estoiles[_]E[_] li solauz desor la [_]une ;	Et dïent que buer seroit nee Cui il avroit s'amor donee, Qui si est as armes puissanz Et desor toz reconoissanz, Si con cierges antre chandoiles Et la lune antre les estoiles Et li solauz desor la lune ;
Mes di[_]es li Que demain [_]u soir[_]resoit ci Et[_]voist plus tost que il ne siaut,	Mes dites li Que demain au soir resoit ci Et voist plus tost que il ne siaut,
«[_]Dame, cist termes est mout l[_]ns.	« Dame, cist termes est mout lons.
Que ses piez [_]oinz li estandoi[_]	Que ses piez joinz li estandoit
et il[_]s'an ist,	et il s'an ist,
At[_]nt de la boi[_]te se teisent ;	Atant de la boiste se teisent ;
Que par l[_]i desresnier voldroit La querele ou ele n'a[_]droit [_]	Que par lui desresnier voldroit La querele ou ele n'a droit ;
Q[_]'il [_]e l'eüst pas desservi :	Qu'il ne l'eüst pas desservi :
Quant Yvain[_] ceste[_]novele ot, Si s'esbaïst	Quant Yvains ceste novele ot, Si s'esbaïst
Plaindre se doit q[_]i est batu[_] ;	Plaindre se doit qui est batuz ;
Quant vit c[_]lui qui nuz estoit, Bien pot savoir, [_][_]nz nul redot, Qu'il[_]n'ert mie an son san[_]del tot ;	Quant vit celui qui nuz estoit, Bien pot savoir, sanz nul redot, Qu'il n'ert mie an son san del tot ;
Mes or [_]st ele bien venue,	Mes or est ele bien venue,
Et ses genz an[_]iron lui crïen[_], Que par po de duel ne s'o[_]ïent ;	Et ses genz anviron lui crïent, Que par po de duel ne s'ocïent ;
Ensi li portiers le sem[_]nt	Ensi li portiers le semont
- Ha ! dam[_], or di[_]es vos mout bien,	- Ha ! dame, or dites vos mout bien,
Et li dui che[_]alier ansanble Ne[_]vostrent en vile d[_]scendre,	Et li dui chevalier ansanble Ne vostrent en vile descendre,
- Dex et li droiz que je i ai, [_]n cui je [_]'an fi et fiai[_] En soit en a[_]de celui,	- Dex et li droiz que je i ai, En cui je m'an fi et fiai, En soit en aïde celui,
E[_] met son cue[_] an tel esprueve Qu'il le retient	Et met son cuer an tel esprueve Qu'il le retient
Si li dist qu'il [_][_]oit tel forc[_] Com a, desus le fust, l'escorce,	Si li dist qu'il avoit tel force Com a, desus le fust, l'escorce,
S'issir[_]nt fors de la meison	S'issirent fors de la meison
Plus tost ne poïst an nonbrer An[_]reu et.[_]i[_] et troi[_] et quatre, Que l'[_]n[_]ne li veïst abatre Qu[_]tre chevaliers araumant, [_]lus tost et plus delivremant.	Plus tost ne poïst an nonbrer Anpreu et.ii. et trois et quatre, Que l'en ne li veïst abatre Quatre chevaliers araumant, Plus tost et plus delivremant.
S'ot puis[_]tot[_] sa livr[_]ison, Pain a planté[_]et veneison Qu'il li dona ta[_][_] longuemant C'un jor le troverent dormant En [_]a[_]for[_]st.ii. dameiseles Et une lor dame avoec e[_]es De cui mesniee eles estoient.	S'ot puis tote sa livreison, Pain a planté et veneison Qu'il li dona tant longuemant C'un jor le troverent dormant En la forest.ii. dameiseles Et une lor dame avoec eles De cui mesniee eles estoient.
Mes ne feroie pas savoir[_]Se je sanz con[_]ié m'an aloi[_].	Mes ne feroie pas savoir Se je sanz congié m'an aloie.
[_]on roidemant il les requier[_] !	Con roidemant il les requiert !
E[_]n[_] avroi[_] eü tant de honte Que plus n'en porriez avoir.	Einz avroiz eü tant de honte Que plus n'en porriez avoir.
Ja mes[_]voir[_]ne reposerons An cest chastel,	Ja mes voir ne reposerons An cest chastel,
S'a[_]orta.i. chapon en rost Et vin [_]u[_] f[_] de[_]boene grape, Plain pot, covert de blanche nape ;	S'aporta.i. chapon en rost Et vin qui fu de boene grape, Plain pot, covert de blanche nape ;
Mout feroit[_]bien, s'el le f[_]isoit,	Mout feroit bien, s'el le feisoit,
Qu'il est seu[_]	Qu'il est seus
Ne n'avr[_]nt, tan[_] con vis les sache.	Ne n'avront, tant con vis les sache.
Einsi del tot a mesc[_]ief fui,	Einsi del tot a meschief fui,
Quant devant lui vint,[_]s[_] li fist Grant joie, come beste m[_]e.	Quant devant lui vint, si li fist Grant joie, come beste mue.
et cele Li a la mançonge[_]retreite, Si g[_]ant com ele [_]'avoit feite,	et cele Li a la mançonge retreite, Si grant com ele l'avoit feite,
Et cil l[_]en mercie.c. foiz.	Et cil l'en mercie.c. foiz.
